X,Y
1244,44.2562
1245,44.2913
1246,44.4573
1247,44.7258
1248,44.5835
1249,44.5304
1250,44.7552
1251,44.7324
1252,44.7846
1253,44.7154
1254,45.0256
1255,45.2192
1256,45.3387
1257,45.4412
1258,45.7182
1259,46.0256
1260,46.1025
1261,46.1632
1262,46.4791
1263,46.6945
1264,46.9393
1265,47.1101
1266,47.4317
1267,47.8169
1268,48.0683
1269,48.4810
1270,48.8795
1271,49.5342
1272,49.6793
1273,50.2030
1274,50.6879
1275,51.5095
1276,51.8008
1277,52.7021
1278,53.3662
1279,54.3435
1280,55.2068
1281,55.6917
1282,56.8501
1283,57.6888
1284,58.7381
1285,59.8824
1286,60.8672
1287,62.1101
1288,63.2789
1289,64.7694
1290,65.7619
1291,67.0541
1292,68.3397
1293,69.6527
1294,70.7884
1295,71.9839
1296,73.5731
1297,74.6584
1298,76.2789
1299,77.6053
1300,78.9991
1301,80.1195
1302,81.5351
1303,82.9383
1304,84.1860
1305,85.6442
1306,86.7856
1307,88.1366
1308,89.0398
1309,90.3994
1310,91.6879
1311,93.0389
1312,94.1300
1313,95.5788
1314,96.5636
1315,98.2505
1316,98.9753
1317,100.1717
1318,101.5655
1319,102.7951
1320,103.9478
1321,104.8491
1322,105.9867
1323,106.8340
1324,107.6300
1325,108.5266
1326,109.4991
1327,110.2486
1328,111.1603
1329,111.7723
1330,112.2979
1331,112.8824
1332,113.4412
1333,113.7922
1334,114.0645
1335,114.1167
1336,114.3349
1337,114.6110
1338,114.5266
1339,114.6072
1340,114.9156
1341,114.8216
1342,114.9848
1343,114.9051
1344,114.9402
1345,114.9573
1346,114.6471
1347,114.6252
1348,114.3596
1349,114.1233
1350,113.8871
1351,113.7495
1352,113.7087
1353,113.2249
1354,113.0911
1355,113.1053
1356,113.0209
1357,113.2742
1358,112.9953
1359,113.4317
1360,113.2287
1361,113.4801
1362,113.6964
1363,113.4943
1364,113.7353
